age,income,loan_amount,loan_tenure_months,employment_years,num_credit_lines,existing_debts,missed_payments,credit_score,debt_to_income_ratio,loan_to_income_ratio,payment_history_score,education,employment_type,creditworthy
36,45077.89,7914.44,12,0.7,4,0.0,0,579,0.0,0.1756,100,High School,Salaried,1
65,58281.9,11045.9,48,2.8,8,4647.4,0,739,0.0797,0.1895,100,Bachelor,Salaried,1
38,44491.04,14188.75,24,2.5,4,12326.31,2,601,0.277,0.3189,84,High School,Self-Employed,1
67,41274.86,4760.86,36,13.9,2,13539.51,0,635,0.328,0.1153,100,High School,Salaried,1
44,43191.75,4255.13,36,0.8,6,10136.0,2,751,0.2347,0.0985,84,Master,Self-Employed,1
46,92746.63,10733.89,12,0.0,2,7079.36,1,621,0.0763,0.1157,92,High School,Business,1
45,71981.4,11793.43,24,1.4,3,17307.8,1,678,0.2404,0.1638,92,High School,Salaried,1
65,44419.19,15471.08,48,8.6,1,8889.06,1,646,0.2001,0.3483,92,High School,Business,1
61,15000.0,17375.09,60,1.2,5,8153.93,1,648,0.5436,1.1583,92,Master,Business,0
49,21021.78,3207.5,12,1.4,9,14658.93,2,638,0.6973,0.1526,84,High School,Business,0
35,66075.44,5503.32,48,0.7,2,10377.76,0,567,0.1571,0.0833,100,Bachelor,Self-Employed,1
65,15000.0,4233.98,60,6.3,7,12699.15,3,694,0.8466,0.2822,76,High School,Salaried,0
21,61445.86,23299.58,36,0.4,5,13284.86,0,701,0.2162,0.3792,100,Master,Salaried,1
45,31557.6,11037.84,36,2.0,2,6137.64,1,603,0.1945,0.3498,92,Master,Self-Employed,1
27,57019.73,12129.03,24,1.7,8,16838.66,2,615,0.2953,0.2127,84,Bachelor,Salaried,1
29,56404.84,12462.19,60,4.1,6,0.0,2,723,0.0,0.2209,84,Master,Self-Employed,1
44,57652.98,6274.64,36,6.6,4,0.0,2,629,0.0,0.1088,84,Master,Salaried,1
21,46322.72,24514.16,36,3.8,4,4598.93,0,657,0.0993,0.5292,100,Master,Salaried,1
64,45599.72,15288.21,24,13.4,2,5883.2,5,579,0.129,0.3353,60,Master,Self-Employed,1
28,39142.61,12316.72,48,15.1,3,9813.12,1,645,0.2507,0.3147,92,High School,Salaried,1
44,65645.63,3157.95,36,2.2,7,4552.78,0,580,0.0694,0.0481,100,Bachelor,Salaried,1
31,72714.24,2704.54,12,7.5,3,7940.41,1,602,0.1092,0.0372,92,PhD,Business,1
37,28182.6,9528.74,12,6.7,5,6974.29,3,589,0.2475,0.3381,76,Bachelor,Salaried,1
28,53864.17,6400.07,48,11.2,6,18022.33,0,719,0.3346,0.1188,100,PhD,Salaried,1
55,59324.81,3460.45,60,3.0,6,3975.12,1,544,0.067,0.0583,92,Bachelor,Salaried,1
55,59042.96,9032.34,24,3.8,4,0.0,0,671,0.0,0.153,100,Bachelor,Salaried,1
53,58668.93,10268.58,12,2.7,6,13595.0,1,632,0.2317,0.175,92,Bachelor,Salaried,1
25,46155.23,13134.28,12,9.5,3,4430.22,3,762,0.096,0.2846,76,Master,Self-Employed,1
62,61138.67,7968.64,48,1.3,7,7541.68,1,712,0.1234,0.1303,92,Bachelor,Business,1
59,68596.63,3939.19,60,1.4,7,4769.12,0,551,0.0695,0.0574,100,High School,Business,1
61,58102.81,4216.63,60,2.3,4,11685.88,0,605,0.2011,0.0726,100,Master,Salaried,1
48,66130.68,21703.78,48,1.3,2,1128.63,0,649,0.0171,0.3282,100,PhD,Self-Employed,1
27,76787.78,1985.94,12,4.1,7,0.0,0,605,0.0,0.0259,100,Bachelor,Business,1
29,15000.0,14905.46,24,0.7,3,14478.58,0,723,0.9652,0.9936,100,High School,Salaried,0
28,75756.2,16156.37,12,1.9,1,9237.35,0,664,0.1219,0.2133,100,High School,Salaried,1
32,62533.41,11029.8,60,12.2,2,13363.22,3,635,0.2137,0.1764,76,Master,Business,1
54,30544.24,26142.63,12,2.6,9,14311.06,2,728,0.4685,0.8559,84,High School,Business,1
53,72654.36,16013.75,24,6.9,8,3417.67,4,556,0.047,0.2204,68,Bachelor,Salaried,1
68,46236.94,26743.22,36,0.6,6,8303.32,1,629,0.1796,0.5784,92,High School,Salaried,1
43,49236.74,6791.49,12,1.4,6,10526.94,0,670,0.2138,0.1379,100,High School,Salaried,1
44,43831.04,6928.44,48,8.2,1,7458.54,1,639,0.1702,0.1581,92,Bachelor,Salaried,1
57,61652.77,16220.3,36,7.2,2,6439.24,0,402,0.1044,0.2631,100,High School,Salaried,1
55,37722.23,9908.27,48,2.4,4,6931.74,1,677,0.1838,0.2627,92,Master,Salaried,1
64,74832.44,25485.32,48,15.4,3,13417.71,0,690,0.1793,0.3406,100,Bachelor,Self-Employed,1
60,51945.02,14733.6,48,12.1,1,6704.94,0,569,0.1291,0.2836,100,Bachelor,Self-Employed,1
42,46987.55,3643.41,12,16.4,8,11001.15,1,475,0.2341,0.0775,92,Bachelor,Business,1
47,71563.26,1000.0,60,2.8,7,9734.46,0,596,0.136,0.014,100,Master,Self-Employed,1
55,47969.75,11374.09,36,1.1,4,3179.08,2,634,0.0663,0.2371,84,Bachelor,Salaried,1
21,75859.89,11287.01,24,4.9,9,9509.85,0,641,0.1254,0.1488,100,High School,Salaried,1
55,76551.04,14510.13,60,5.8,4,306.64,2,493,0.004,0.1895,84,High School,Salaried,1
57,25634.32,21685.52,12,0.7,1,10007.17,1,666,0.3904,0.8459,92,Bachelor,Salaried,1
67,79403.72,20632.91,48,7.7,1,12455.59,1,732,0.1569,0.2598,92,Master,Unemployed,1
34,22835.21,7368.79,24,0.1,1,13607.07,1,727,0.5959,0.3227,92,Bachelor,Self-Employed,1
23,80774.77,1649.44,36,3.3,1,3236.55,2,748,0.0401,0.0204,84,High School,Salaried,1
21,99623.86,2127.03,60,2.0,4,5319.23,1,553,0.0534,0.0214,92,Master,Salaried,1
25,74246.36,6105.59,60,6.7,1,9420.33,0,720,0.1269,0.0822,100,Bachelor,Salaried,1
46,15000.0,9066.15,24,1.9,2,5620.38,1,575,0.3747,0.6044,92,Bachelor,Salaried,0
34,78398.45,14440.5,12,8.8,4,0.0,1,713,0.0,0.1842,92,High School,Salaried,1
59,104414.84,5592.26,36,4.5,7,5291.52,0,591,0.0507,0.0536,100,High School,Salaried,1
47,48333.3,14243.14,24,7.9,2,9401.01,2,678,0.1945,0.2947,84,High School,Salaried,1
29,54236.53,14896.32,48,22.7,8,13337.64,1,773,0.2459,0.2746,92,High School,Salaried,1
35,28853.29,13146.75,36,5.7,7,16446.04,1,725,0.57,0.4556,92,PhD,Self-Employed,1
35,61865.75,2971.02,60,21.0,9,8624.74,0,576,0.1394,0.048,100,High School,Self-Employed,1
46,82921.9,15742.61,24,0.1,6,10832.47,1,559,0.1306,0.1898,92,Bachelor,Business,1
62,70350.22,28650.16,60,2.1,4,12803.92,0,712,0.182,0.4072,100,Bachelor,Salaried,1
33,124123.27,13967.17,60,0.6,6,0.0,3,756,0.0,0.1125,76,Bachelor,Business,1
52,55726.59,1000.0,60,1.5,4,2903.92,2,684,0.0521,0.0179,84,Master,Self-Employed,1
59,19125.19,21927.04,12,9.1,7,8512.81,0,609,0.4451,1.1464,100,Bachelor,Salaried,1
69,58761.36,6378.02,60,0.2,9,15779.72,1,653,0.2685,0.1085,92,PhD,Salaried,1
52,15000.0,30125.7,48,3.7,3,11148.8,2,685,0.7432,2.0082,84,High School,Salaried,0
24,43271.71,12930.91,48,4.2,3,9648.5,0,643,0.223,0.2988,100,High School,Salaried,1
50,90736.41,1000.0,36,4.1,2,6859.44,0,576,0.0756,0.011,100,High School,Salaried,1
57,62152.94,1000.0,60,3.2,1,10133.97,1,735,0.163,0.0161,92,High School,Business,1
43,58947.17,24317.93,60,7.8,1,5017.8,1,800,0.0851,0.4125,92,Bachelor,Salaried,1
59,95057.17,20847.24,24,0.7,3,4100.85,1,764,0.0431,0.2193,92,Master,Salaried,1
65,49046.8,29808.15,12,1.9,7,4535.32,1,476,0.0925,0.6077,92,High School,Salaried,1
35,82760.05,12087.4,36,4.8,9,14702.41,0,742,0.1776,0.1461,100,Master,Salaried,1
63,57844.75,11547.76,60,5.9,2,3798.74,0,696,0.0657,0.1996,100,Bachelor,Business,1
49,63361.04,8938.25,24,2.6,7,6006.11,2,597,0.0948,0.1411,84,Bachelor,Unemployed,1
56,28219.29,6733.68,12,10.4,1,10355.06,1,493,0.3669,0.2386,92,High School,Salaried,1
33,44394.97,8860.56,36,2.7,2,3599.08,1,641,0.0811,0.1996,92,High School,Salaried,1
52,24254.6,13739.71,36,2.6,6,9130.82,1,679,0.3764,0.5665,92,Master,Business,1
27,52904.61,5248.79,60,0.2,5,9129.02,2,561,0.1726,0.0992,84,High School,Salaried,1
42,63588.85,1000.0,36,4.0,8,4877.73,1,749,0.0767,0.0157,92,Master,Self-Employed,1
48,30579.16,13279.01,24,6.2,2,6706.1,1,747,0.2193,0.4342,92,Bachelor,Unemployed,1
22,100081.94,5070.44,36,0.6,1,3282.12,2,687,0.0328,0.0507,84,Master,Self-Employed,1
62,61118.33,1000.0,48,1.8,7,14913.83,0,540,0.244,0.0164,100,Master,Salaried,1
65,56271.5,16420.54,24,7.6,6,9287.97,3,629,0.1651,0.2918,76,High School,Business,1
26,71932.47,3135.53,12,2.3,8,2756.78,2,708,0.0383,0.0436,84,Bachelor,Unemployed,1
48,36763.58,17294.32,12,1.4,8,8631.59,1,703,0.2348,0.4704,92,High School,Self-Employed,1
48,58596.5,17102.78,60,5.6,2,8857.97,0,594,0.1512,0.2919,100,Bachelor,Salaried,1
64,39228.94,14268.72,60,1.1,8,0.0,0,606,0.0,0.3637,100,High School,Unemployed,1
64,89290.96,31974.54,48,11.3,6,14702.22,1,592,0.1647,0.3581,92,Bachelor,Unemployed,1
40,31709.93,10895.59,12,0.6,9,3051.96,2,627,0.0962,0.3436,84,High School,Unemployed,1
50,56389.64,9714.88,12,6.1,7,18451.07,1,611,0.3272,0.1723,92,PhD,Salaried,1
31,62244.95,17469.38,12,3.5,2,11976.45,1,596,0.1924,0.2807,92,Bachelor,Business,1
48,63686.17,11556.42,12,10.2,8,2365.85,3,639,0.0371,0.1815,76,Master,Self-Employed,1
45,42212.83,21283.95,36,0.7,9,6428.75,2,653,0.1523,0.5042,84,High School,Salaried,1
59,35298.79,1849.55,24,5.7,7,12613.09,2,737,0.3573,0.0524,84,Bachelor,Salaried,1
53,42530.51,1982.6,24,4.2,4,6811.24,3,507,0.1601,0.0466,76,Bachelor,Self-Employed,1
21,66623.16,18126.48,48,3.3,9,13891.19,1,748,0.2085,0.2721,92,Bachelor,Business,1
47,51835.39,2681.51,36,3.4,4,6119.66,1,590,0.1181,0.0517,92,Master,Business,1
33,72516.59,16872.79,12,6.4,4,7606.67,1,799,0.1049,0.2327,92,PhD,Salaried,1
61,65494.08,14960.02,12,13.9,9,12750.75,0,704,0.1947,0.2284,100,High School,Salaried,1
23,15000.0,6444.09,60,0.5,8,11016.95,1,694,0.7344,0.4296,92,PhD,Salaried,0
59,60444.95,14937.36,60,0.1,4,3373.86,0,642,0.0558,0.2471,100,Bachelor,Business,1
26,104510.0,2123.26,48,8.2,8,10170.26,2,815,0.0973,0.0203,84,PhD,Salaried,1
28,84155.92,4000.8,12,0.6,8,8837.24,1,648,0.105,0.0475,92,Bachelor,Self-Employed,1
47,64284.29,10102.5,48,21.6,7,3441.33,1,771,0.0535,0.1572,92,PhD,Self-Employed,1
29,31693.37,12631.42,36,4.8,6,1047.62,0,604,0.0331,0.3985,100,Master,Business,1
57,65506.18,9570.89,24,5.3,8,0.0,1,707,0.0,0.1461,92,High School,Salaried,1
53,71274.5,15464.93,12,1.1,7,6527.88,2,802,0.0916,0.217,84,Bachelor,Self-Employed,1
62,49417.57,15107.73,36,1.4,5,7729.97,6,582,0.1564,0.3057,52,High School,Unemployed,0
64,61968.33,24234.93,12,5.4,4,10522.89,2,689,0.1698,0.3911,84,Bachelor,Self-Employed,1
44,88212.57,11237.72,60,12.0,2,12102.39,0,593,0.1372,0.1274,100,Master,Salaried,1
35,36139.96,21556.51,48,20.2,8,5930.71,0,684,0.1641,0.5965,100,Master,Salaried,1
52,31717.41,19365.8,60,1.1,9,7584.64,3,802,0.2391,0.6106,76,Master,Business,1
52,70239.39,30351.82,24,0.7,4,4206.39,1,575,0.0599,0.4321,92,Bachelor,Salaried,1
44,65065.94,10981.94,60,0.3,4,8436.19,1,662,0.1297,0.1688,92,High School,Self-Employed,1
61,77634.44,8637.13,12,10.1,5,12842.54,2,583,0.1654,0.1113,84,High School,Self-Employed,1
69,67535.46,22061.55,60,1.7,2,8505.71,2,640,0.1259,0.3267,84,Master,Unemployed,1
69,42509.39,15083.46,12,0.0,7,13816.63,2,700,0.325,0.3548,84,High School,Salaried,1
32,64508.24,22253.27,24,1.3,5,12758.91,4,626,0.1978,0.345,68,High School,Self-Employed,1
59,29873.22,17734.39,60,2.1,6,15288.49,4,776,0.5118,0.5936,68,Bachelor,Salaried,1
22,49492.99,1000.0,48,23.5,4,8646.16,0,689,0.1747,0.0202,100,High School,Salaried,1
23,66061.58,15010.57,48,3.7,8,5337.85,3,544,0.0808,0.2272,76,High School,Salaried,1
69,47068.69,14489.73,48,1.1,8,11106.17,1,676,0.236,0.3078,92,High School,Business,1
57,109297.15,13064.86,60,2.0,5,6135.49,2,767,0.0561,0.1195,84,PhD,Business,1
69,15000.0,10942.06,60,2.0,6,10949.26,0,693,0.7299,0.7294,100,High School,Salaried,0
37,42955.21,1000.0,60,0.1,3,4685.98,1,671,0.1091,0.0233,92,Master,Salaried,1
69,34368.84,18993.42,12,0.7,1,3857.97,3,626,0.1122,0.5526,76,High School,Self-Employed,1
22,39592.33,14990.15,24,5.9,9,14082.23,0,642,0.3557,0.3786,100,Master,Self-Employed,1
22,40854.04,20815.65,48,0.6,9,2937.13,2,651,0.0719,0.5095,84,Bachelor,Self-Employed,1
48,25818.74,1000.0,12,1.3,3,13111.24,0,454,0.5078,0.0387,100,Master,Unemployed,0
43,71559.45,16057.08,48,2.2,4,10930.15,0,687,0.1527,0.2244,100,Master,Business,1
57,42963.9,10122.73,12,7.1,7,8471.49,1,730,0.1972,0.2356,92,Bachelor,Salaried,1
52,58598.61,13150.3,60,4.4,2,0.0,1,590,0.0,0.2244,92,Master,Salaried,1
53,45433.83,10214.72,48,5.8,3,15428.3,0,669,0.3396,0.2248,100,Bachelor,Self-Employed,1
21,39800.63,16348.86,60,4.2,6,3325.8,0,678,0.0836,0.4108,100,Master,Business,1
39,91790.14,10697.02,48,5.8,8,12765.77,0,715,0.1391,0.1165,100,Bachelor,Salaried,1
22,75304.51,3584.68,36,0.0,1,4545.3,3,651,0.0604,0.0476,76,Master,Self-Employed,1
64,15000.0,12691.4,12,13.4,4,4144.18,1,693,0.2763,0.846,92,Master,Salaried,1
46,15000.0,10286.6,36,0.6,1,11343.08,3,557,0.7562,0.6857,76,High School,Business,0
52,77937.39,11332.85,12,2.6,2,10692.33,1,569,0.1372,0.1454,92,Bachelor,Business,1
26,43563.23,1000.0,24,7.4,8,2274.51,1,684,0.0522,0.023,92,Master,Salaried,1
52,18720.19,17461.09,48,2.9,6,15183.8,1,632,0.811,0.9327,92,Master,Salaried,0
24,78006.17,9482.69,24,14.7,9,6969.77,2,524,0.0893,0.1216,84,PhD,Salaried,1
31,58720.73,1214.77,24,3.2,2,8344.64,0,678,0.1421,0.0207,100,High School,Business,1
37,60534.56,19380.51,12,10.4,3,6514.61,1,548,0.1076,0.3202,92,Bachelor,Business,1
58,72809.86,17090.93,36,8.3,9,2486.18,3,850,0.0341,0.2347,76,Bachelor,Self-Employed,1
44,26180.5,9381.44,60,19.8,9,11676.12,3,476,0.446,0.3583,76,High School,Salaried,0
25,19106.98,2782.64,12,13.1,6,9447.75,1,654,0.4944,0.1456,92,Bachelor,Salaried,1
54,89780.99,13424.25,60,11.4,3,3974.58,1,561,0.0443,0.1495,92,Bachelor,Salaried,1
26,23382.33,12984.85,24,6.6,5,12720.67,0,723,0.544,0.5553,100,High School,Salaried,1
42,28110.77,19394.67,60,2.3,2,8274.18,1,618,0.2943,0.6899,92,High School,Salaried,1
31,32506.42,8450.12,36,0.6,7,8381.89,2,731,0.2578,0.2599,84,High School,Salaried,1
68,100758.81,21559.38,12,5.8,8,16882.59,2,711,0.1676,0.214,84,Master,Salaried,1
36,65854.43,7677.98,36,19.2,6,0.0,0,565,0.0,0.1166,100,Bachelor,Self-Employed,1
53,76238.98,1233.35,36,6.5,8,0.0,2,592,0.0,0.0162,84,High School,Business,1
29,59315.69,2941.74,12,13.2,2,1019.97,1,622,0.0172,0.0496,92,Bachelor,Salaried,1
26,41758.48,11500.71,36,8.2,3,9818.17,0,645,0.2351,0.2754,100,High School,Self-Employed,1
36,68888.41,11475.88,48,0.9,7,6204.78,0,634,0.0901,0.1666,100,PhD,Salaried,1
49,20754.45,14622.89,48,1.4,1,6602.27,0,708,0.3181,0.7045,100,High School,Salaried,1
23,30903.76,11277.01,48,2.1,7,3287.92,2,669,0.1064,0.3649,84,Master,Business,1
40,71125.45,19818.55,60,0.9,6,16326.26,1,601,0.2295,0.2786,92,Bachelor,Salaried,1
56,25140.38,9911.25,36,4.4,8,18005.09,1,577,0.7162,0.3942,92,Master,Salaried,0
39,50840.21,1000.0,12,18.5,7,12494.52,0,585,0.2458,0.0197,100,High School,Salaried,1
46,51842.73,11031.23,12,7.2,4,463.57,1,676,0.0089,0.2128,92,High School,Salaried,1
23,43369.44,1000.0,60,2.8,3,5565.52,2,635,0.1283,0.0231,84,Master,Self-Employed,1
39,15000.0,14171.13,12,0.0,3,12137.31,2,816,0.8091,0.9447,84,High School,Salaried,0
40,41163.56,20457.54,48,1.9,4,7770.85,0,650,0.1888,0.497,100,Master,Salaried,1
52,36850.7,4110.2,36,3.7,9,12511.1,0,665,0.3395,0.1115,100,Bachelor,Business,1
27,58551.68,23348.45,12,2.0,9,14239.08,2,506,0.2432,0.3988,84,Master,Salaried,1
61,57430.79,18742.65,12,0.6,2,17535.98,1,543,0.3053,0.3263,92,Master,Salaried,1
53,63315.15,21651.84,24,2.9,5,4725.67,0,560,0.0746,0.342,100,PhD,Unemployed,1
60,40128.3,13516.51,24,1.5,1,8406.42,0,607,0.2095,0.3368,100,Bachelor,Salaried,1
59,66501.11,4057.88,24,12.0,4,5796.18,1,531,0.0872,0.061,92,Bachelor,Business,1
38,20767.85,18246.52,36,0.5,2,0.0,2,558,0.0,0.8786,84,PhD,Unemployed,1
60,15000.0,7003.19,48,0.3,8,11507.94,1,703,0.7671,0.4668,92,Master,Salaried,0
21,15000.0,12943.08,48,0.0,4,10817.21,2,581,0.7211,0.8628,84,High School,Salaried,0
31,44015.46,10629.19,48,2.0,5,5265.87,0,647,0.1196,0.2415,100,Bachelor,Salaried,1
48,38427.44,20997.57,36,5.4,4,9.72,1,697,0.0003,0.5464,92,High School,Business,1
45,72364.94,17842.62,36,6.6,5,6079.38,1,726,0.084,0.2466,92,PhD,Salaried,1
